production_companies_Columbia Pictures,16
production_companies_Columbia Pictures Corporation,7
production_companies_Dark Horse Entertainment,5
production_companies_DreamWorks Animation,6
production_companies_DreamWorks SKG,5
production_companies_Dune Entertainment,6
production_companies_Legendary Pictures,8
production_companies_Lionsgate,7
production_companies_New Line Cinema,5
production_companies_Paramount Pictures,22
production_companies_Relativity Media,15
production_companies_Summit Entertainment,10
production_companies_The Weinstein Company,7
production_companies_Twentieth Century Fox Film Corporation,12
production_companies_Universal Pictures,19
production_companies_Village Roadshow Pictures,7
production_companies_Walden Media,5
production_companies_Walt Disney Pictures,12
production_companies_Warner Bros.,26
